Timestamp,Course Code,Feedback,Previous Experience,Gender,Attendance,Course Difficulty,Study Hours (per week),Overall Satisfaction,Department,Unnamed: 11
2023/05/21 3:29:49 AM MDT,CPE 321,"The man is too fast in his teaching,he clearly doesn't know how to teach students very well.",No,Male,Regular,Challenging,21 hours,5,Yes,20/30GR072 
2023/05/21 3:39:59 AM MDT,CPE 331,The class is dry but he really puts in efforts,Yes,Male,Regular,Moderate,7,8,Yes,19/30GR010
2023/05/21 3:57:54 AM MDT,CPE 321,"The course is shit and it's a threat to my brain,the teaching mode is so poor ",No,Male,Regular,Challenging,7hrs,4,Yes,20/30GR073
2023/05/21 4:52:08 AM MDT,CPE 321,"He no try at all, didn’t teach well.",No,Male,Regular,Challenging,12,1,Yes,
2023/05/21 5:24:33 AM MDT,CPE 321,Ogbeni you sef know as e dae go ,Yes,Male,Occasional,Difficult,How you want take study something wey you head no carry ,0,Yes,
2023/05/21 5:31:57 AM MDT,CPE 321,"Omo, God will judge AK sha.
You don’t take a class like that and expect the students to understand what you are doing, that’s him and God ahead.
Make I sha no fail",No,Male,Regular,Difficult,9,1,Yes,
2023/05/21 6:11:02 AM MDT,CPE 321,That man no good at all,No,Male,Regular,Difficult,3,1,No,
2023/05/21 7:19:29 AM MDT,CPE 321,E choke,No,Male,Regular,Challenging,0,3,Yes,
2023/05/21 8:48:19 AM MDT,MEE 361,The teaching mode is okay as the lecturer do revision of what's being taught from time to time.,No,Male,Regular,Moderate,4,8,Yes,
2023/05/21 9:44:44 AM MDT,CPE 321,"Basically from my own experience, CPE 321 isn’t hard but the method employed by the lecturer in teaching the course leaves much to be desired. I would have loved if the lecturer took his time and explained the course very well. ",No,Male,Regular,Challenging,5,3,Yes,
2023/05/21 6:01:23 PM MDT,CPE 321,On God No cap,No,Male,Regular,Challenging,3,1,Yes,
2023/05/21 6:57:34 PM MDT,CPE 321,"The course is very very difficult and the lecturer no dey even make am easy.
He actually taught and explained 27 pages of the material within 3 hours.",No,Male,Regular,Difficult,6,0,Yes,
2023/05/21 7:08:33 PM MDT,CPE 321,Need more explanation and practical application from the lecturer when teaching this course,No,Male,Regular,Moderate,0.5,3,Yes,
2023/05/22 2:42:44 AM MDT,CPE 321,The course isn’t supposed to be this difficult if the lecturer had taken his time to explain it and made the class an interactive one. ,Yes,Male,Regular,Challenging,I don’t know,2,Yes,
2023/05/24 4:51:46 AM MDT,CPE 321,Omooooo is all I can say😭,No,Male,Regular,Difficult,2,4,Yes,
2023/05/24 9:26:26 AM MDT,CPE 311,The lecturer is cool and calm. Her teaching method makes it easier to understand her courses.,Yes,Male,Regular,Easy,9,9,Yes,
2023/05/24 9:27:51 AM MDT,CPE 321,The lecturer is fucking terrible. With his I-dont-care attitude towards students. The worst lecturer so far.,No,Male,Regular,Difficult,7,0,Yes,
