Course Code,Feedback,Previous Experience,Gender,Attendance,Course Difficulty,Study Hours (per week),Overall Satisfaction,Department,Date,Time,Hour,Processed_Feedback,Char_Count,Word_Count,Sentiment_Scores,Sentiments
CPE 321,"The man is too fast in his teaching,he clearly doesn't know how to teach students very well.",No,Male,Regular,Challenging,21,5,Yes,2023-05-21,03:29:49,3,man fast teachinghe clearly doesnt know teach student well,58,9,0.15000000000000002,positive
CPE 331,The class is dry but he really puts in efforts,Yes,Male,Regular,Moderate,7,8,Yes,2023-05-21,03:39:59,3,class dry really put effort,27,5,0.06666666666666668,positive
CPE 321,"The course is shit and it's a threat to my brain,the teaching mode is so poor ",No,Male,Regular,Challenging,7,4,Yes,2023-05-21,03:57:54,3,course shit threat brainthe teaching mode poor,46,7,-0.30000000000000004,negative
CPE 321,"He no try at all, didn’t teach well.",No,Male,Regular,Challenging,12,1,Yes,2023-05-21,04:52:08,4,try didnt teach well,20,4,0.0,negative
CPE 321,Ogbeni you sef know as e dae go ,Yes,Male,Occasional,Difficult,0,0,Yes,2023-05-21,05:24:33,5,ogbeni sef know e dae go,24,6,0.0,negative
CPE 321,"Omo, God will judge AK sha.
You don’t take a class like that and expect the students to understand what you are doing, that’s him and God ahead.
Make I sha no fail",No,Male,Regular,Difficult,9,1,Yes,2023-05-21,05:31:57,5,omo god judge ak sha dont take class like expect student understand thats god ahead make sha fail,97,18,-0.5,negative
CPE 321,That man no good at all,No,Male,Regular,Difficult,3,1,No,2023-05-21,06:11:02,6,man good,8,2,0.7,positive
CPE 321,E choke,No,Male,Regular,Challenging,0,3,Yes,2023-05-21,07:19:29,7,e choke,7,2,0.0,negative
MEE 361,The teaching mode is okay as the lecturer do revision of what's being taught from time to time.,No,Male,Regular,Moderate,4,8,Yes,2023-05-21,08:48:19,8,teaching mode okay lecturer revision whats taught time time,59,9,0.5,positive
CPE 321,"Basically from my own experience, CPE 321 isn’t hard but the method employed by the lecturer in teaching the course leaves much to be desired. I would have loved if the lecturer took his time and explained the course very well. ",No,Male,Regular,Challenging,5,3,Yes,2023-05-21,09:44:44,9,basically experience cpe isnt hard method employed lecturer teaching course leaf much desired would loved lecturer took time explained course well,146,21,0.20277777777777775,positive
CPE 321,On God No cap,No,Male,Regular,Challenging,3,1,Yes,2023-05-21,18:01:23,18,god cap,7,2,0.0,negative
CPE 321,"The course is very very difficult and the lecturer no dey even make am easy.
He actually taught and explained 27 pages of the material within 3 hours.",No,Male,Regular,Difficult,6,0,Yes,2023-05-21,18:57:34,18,course difficult lecturer dey even make easy actually taught explained page material within hour,96,14,-0.022222222222222216,negative
CPE 321,Need more explanation and practical application from the lecturer when teaching this course,No,Male,Regular,Moderate,0,3,Yes,2023-05-21,19:08:33,19,need explanation practical application lecturer teaching course,63,7,0.0,negative
CPE 321,The course isn’t supposed to be this difficult if the lecturer had taken his time to explain it and made the class an interactive one. ,Yes,Male,Regular,Challenging,0,2,Yes,2023-05-22,02:42:44,2,course isnt supposed difficult lecturer taken time explain made class interactive one,85,12,-0.5,negative
CPE 321,Omooooo is all I can say😭,No,Male,Regular,Difficult,2,4,Yes,2023-05-24,04:51:46,4,omooooo say,11,2,0.0,negative
CPE 311,The lecturer is cool and calm. Her teaching method makes it easier to understand her courses.,Yes,Male,Regular,Easy,9,9,Yes,2023-05-24,09:26:26,9,lecturer cool calm teaching method make easier understand course,64,9,0.325,positive
CPE 321,The lecturer is fucking terrible. With his I-dont-care attitude towards students. The worst lecturer so far.,No,Male,Regular,Difficult,7,0,Yes,2023-05-24,09:27:51,9,lecturer fucking terrible idontcare attitude towards student worst lecturer far,79,10,-0.6333333333333333,negative
CPE 331,The course is actually well detailed in the material the lecturer uses. The lecturer is also cool-headed and makes the class interactive albeit boring at times.,No,Male,Regular,Easy,10,7,Yes,2023-05-24,09:29:41,9,course actually well detailed material lecturer us lecturer also coolheaded make class interactive albeit boring time,117,16,-0.19999999999999998,negative
CPE 341,"The course is not well taught. Worst still, we are writing codes on paper for exams.",Yes,Male,Regular,Moderate,10,6,Yes,2023-05-24,09:31:08,9,course well taught worst still writing code paper exam,54,9,-1.0,negative
CPE 381,I dont like my group period.,No,Male,Regular,Moderate,1,2,Yes,2023-05-24,09:33:37,9,dont like group period,22,4,0.0,negative
MEE 361,"This lecturer really tried for us to be honest but with the teaching of hundreds of students at a time, the class is very rowdy and students are mostly left to study on their own.",Yes,Male,Regular,Moderate,12,7,Yes,2023-05-24,09:35:13,9,lecturer really tried u honest teaching hundred student time class rowdy student mostly left study,98,15,0.26666666666666666,positive
GSE 301,One of my best courses so far. No stress at all and we finished up really early.,Yes,Male,Regular,Easy,0,10,Yes,2023-05-24,09:36:04,9,one best course far stress finished really early,48,8,0.4000000000000001,positive
CPE 321,Such a terrible teaching method from the lecturer.,No,Male,Regular,Difficult,10,0,Yes,2023-05-24,09:40:17,9,terrible teaching method lecturer,33,4,-1.0,negative
CPE 321,Awful ,No,Male,Regular,Difficult,4,2,Yes,2023-05-24,09:48:15,9,awful,5,1,-1.0,negative
CPE 321,I felt the course was a bit rushed in terms of teaching the course and also the materials were a bit complex to read and understand ,No,Male,Regular,Challenging,4,1,Yes,2023-05-24,16:39:40,16,felt course bit rushed term teaching course also material bit complex read understand,85,13,-0.3,negative
CPE 341,Little time to learn so much ,No,Female,Regular,Challenging,3,4,Yes,2023-05-26,14:41:24,14,little time learn much,22,4,0.0062500000000000056,negative
CPE 381,"The lecturer is good, I like him.",No,Female,Regular,Moderate,2,8,Yes,2023-05-26,14:43:35,14,lecturer good like,18,3,0.7,positive
CPE 321,We are basically left to go study that course on our own. ,No,Female,Regular,Difficult,8,2,Yes,2023-05-26,14:45:34,14,basically left go study course,30,5,0.0,negative
CPE 311,Course is well thought,Yes,Female,Regular,Easy,10,10,Yes,2023-05-29,15:13:03,15,course well thought,19,3,0.0,negative
CPE 321,this course is hard,No,Female,Irregular,Difficult,3,0,Yes,2023-05-29,15:13:52,15,course hard,11,2,-0.2916666666666667,negative
CPE 331,The lecturer is good and his course is also good,No,Female,Regular,Moderate,12,8,Yes,2023-05-29,15:14:54,15,lecturer good course also good,30,5,0.7,positive
CPE 341,the way the course is taught is not up to 21st century standard,No,Female,Regular,Challenging,8,4,Yes,2023-05-29,15:16:16,15,way course taught 21st century standard,39,6,0.0,negative
CPE 381,1 unit course wey dey disturb person. nonsense.,No,Female,Regular,Challenging,0,1,Yes,2023-05-29,15:17:26,15,unit course wey dey disturb person nonsense,43,7,0.0,negative
MEE 361,class is always rowdy when taking this course,No,Female,Irregular,Moderate,11,6,Yes,2023-05-29,15:18:28,15,class always rowdy taking course,32,5,0.0,negative
GSE 301,no stress in this course,No,Female,Occasional,Easy,5,10,Yes,2023-05-29,15:22:05,15,stress course,13,2,0.0,negative
CPE 311,good,Yes,Female,Regular,Easy,12,9,Yes,2023-05-29,15:22:59,15,good,4,1,0.7,positive
CPE 321,stupid ,No,Female,Irregular,Difficult,4,0,Yes,2023-05-29,15:23:37,15,stupid,6,1,-0.7999999999999999,negative
CPE 331,nice course ,No,Female,Irregular,Moderate,8,7,Yes,2023-05-29,15:34:07,15,nice course,11,2,0.6,positive
CPE 341,hard and lecturer is fast when teaching,No,Female,Irregular,Difficult,10,3,Yes,2023-05-29,15:35:14,15,hard lecturer fast teaching,27,4,-0.04583333333333334,negative
CPE 381,why is a 1 unit course stressing our lives?,No,Female,Irregular,Challenging,1,1,Yes,2023-05-29,15:36:57,15,unit course stressing life,26,4,0.0,negative
MEE 361,relatively easy,No,Female,Regular,Moderate,15,6,Yes,2023-05-29,15:37:41,15,relatively easy,15,2,0.43333333333333335,positive
GSE 301,stress no dey the course,No,Female,Regular,Easy,0,9,Yes,2023-05-29,15:41:13,15,stress dey course,17,3,0.0,negative
CPE 321,very awful course,No,Male,Irregular,Difficult,7,1,Yes,2023-05-29,15:43:46,15,awful course,12,2,-1.0,negative
CPE 341,"The teaching mode and environment is top tier but the course itself requires deep thinking and reasoning especially questions seen in exam so the little learned during classes is certainly not enough to solve the problems, especially if you don’t have prior experience with programming.",No,Male,Regular,Challenging,6,5,Yes,2023-05-29,15:44:32,15,teaching mode environment top tier course requires deep thinking reasoning especially question seen exam little learned class certainly enough solve problem especially dont prior experience programming,201,26,0.044642857142857144,negative
CPE 311,nice teaching method from the lecturer,Yes,Male,Regular,Easy,11,9,Yes,2023-05-29,15:45:08,15,nice teaching method lecturer,29,4,0.6,positive
CPE 321,the teaching method is so terrible ,No,Male,Irregular,Difficult,2,0,Yes,2023-05-29,15:48:28,15,teaching method terrible,24,3,-1.0,negative
CPE 311,Easy course,No,Female,Irregular,Easy,8,9,Yes,2023-05-30,13:47:48,13,easy course,11,2,0.43333333333333335,positive
CPE 321,The outline of the course is difficult and lecturer is bad,No,Female,Regular,Difficult,6,1,Yes,2023-05-30,13:50:08,13,outline course difficult lecturer bad,37,5,-0.5999999999999999,negative
CPE 331,Lecturer is good but the class is dry and equations are much,No,Female,Irregular,Moderate,14,6,Yes,2023-05-30,13:51:12,13,lecturer good class dry equation much,37,6,0.27777777777777773,positive
CPE 341,I hate coding,No,Female,Regular,Challenging,6,5,Yes,2023-05-30,13:52:00,13,hate coding,11,2,-0.8,negative
CPE 381,This one-unit course has got a hell of wahala,No,Female,Regular,Challenging,1,1,Yes,2023-05-30,13:53:12,13,oneunit course got hell wahala,30,5,0.0,negative
